"","nwsID","wrccID","nessID","siteName","longitude","latitude","timezone","elevation","countryCode","stateCode","agency"
"195","020120",NA,NA,"TRUXTON CANYON",-113.7955556,35.78,"America/Phoenix",5304,"US","AZ",NA
"196","014201",NA,NA,"TUSKEGEE",-85.64138889,32.44916667,"America/Chicago",283,"US","AL",NA
"197","500746",NA,NA,"GOLD KING",-148.83,64.58,"America/Anchorage",400,"US","AK",NA
"198","020207",NA,NA,"TUSAYAN",-112.12,35.99,"America/Phoenix",6700,"US","AZ",NA
"199","020109",NA,NA,"TWEEDY",-113.7166667,36.58333333,"America/Phoenix",5200,"US","AZ",NA
"200","036901",NA,NA,"UAM",-91.80555556,33.58861111,"America/Chicago",270,"US","AR",NA
"201","500104",NA,NA,"UMIAT",-152.1355556,69.3725,"America/Anchorage",289,"US","AK",NA
"202","020116",NA,NA,"UNION PASS",-114.3747222,35.22472222,"America/Phoenix",4400,"US","AZ",NA
"203","020503",NA,NA,"VERDE",-111.8444444,34.54916667,"America/Phoenix",3101,"US","AZ",NA
"204","500420",NA,NA,"VUNZIK LAKE",-146.71,66.8,"America/Anchorage",525,"US","AK",NA
"205","020216",NA,NA,"WARM SPRINGS",-112.23,36.7,"America/Phoenix",8010,"US","AZ",NA
"206","500715",NA,NA,"WIEN LAKE",-151.08,64.31,"America/Anchorage",1050,"US","AK",NA
"207","500971",NA,NA,"WILLOW",-150.0419444,61.74416667,"America/Anchorage",221,"US","AK",NA
"208","500710",NA,NA,"WONDER LAKE",-150.8725,63.49055556,"America/Anchorage",2120,"US","AK",NA
"209","020228",NA,NA,"WUPATKI SW",-111.5416667,35.54166667,"America/Phoenix",5725,"US","AZ",NA
"210","020217",NA,NA,"YELLOWJOHN",-113.5416667,36.15416667,"America/Phoenix",6160,"US","AZ",NA
"211","501028",NA,NA,"ZAREMBO",-132.8486111,56.3,"America/Sitka",900,"US","AK",NA
"212","422806",NA,NA,"BADGER SPRING",-113.9513889,37.15222222,"America/Denver",3990,"US","UT",NA
"213","420703",NA,NA,"BEAR RIVER",-110.8166667,40.88333333,"America/Denver",8475,"US","UT",NA
"214","422711",NA,NA,"BIG INDIAN",-109.2791667,38.22083333,"America/Denver",6960,"US","UT",NA
"215","421307",NA,NA,"BLACKTAIL",-110.5619444,40.27777778,"America/Denver",7311,"US","UT",NA
"216","421805",NA,NA,"BLACK CEDAR",-112.2394444,38.97916667,"America/Denver",6480,"US","UT",NA
"217","422203",NA,NA,"BRIMSTONE RESERVOIR",-113.3847222,38.30833333,"America/Denver",5719,"US","UT",NA
"218","421702",NA,NA,"BRUIN POINT",-110.2916667,39.60833333,"America/Denver",9700,"US","UT",NA
"219","422609",NA,NA,"BRYCE CANYON",-112.1722222,37.64166667,"America/Denver",7855,"US","UT",NA
"220","422102",NA,NA,"BRYSON",-109.2166667,39.275,"America/Denver",5320,"US","UT",NA
"221","422606",NA,NA,"BUCK FLAT",-111.6833333,37.9,"America/Denver",8000,"US","UT",NA
"222","420403",NA,NA,"BUES_CANYON",-111.9305556,41.18,"America/Denver",5100,"US","UT",NA
"223","040632",NA,NA,"ARBUCKLE BASIN",-122.8297222,40.43777778,"America/Los_Angeles",2452,"US","CA",NA
"224","045438",NA,NA,"ACTON",-118.2,34.44583333,"America/Los_Angeles",2600,"US","CA",NA
"225","044915",NA,NA,"ARROYO GRANDE",-120.3916667,35.17888889,"America/Los_Angeles",1048,"US","CA",NA
"226","042614",NA,NA,"SUGARLOAF (ENF)",-120.3108333,38.78388889,"America/Los_Angeles",5653,"US","CA",NA
"227","041101",NA,NA,"ALDER SPRINGS",-122.7236111,39.65166667,"America/Los_Angeles",4500,"US","CA",NA
"228","045701",NA,NA,"ALPINE FIRE STATION",-116.7597222,32.83972222,"America/Los_Angeles",2024,"US","CA",NA
"229","045744",NA,NA,"SWEETWATER",-116.6713889,32.83666667,"America/Los_Angeles",2810,"US","CA",NA
"230","043912",NA,NA,"LOS ALTOS",-122.1419444,37.355,"America/Los_Angeles",539,"US","CA",NA
"231","109703",NA,NA,"ANACAPA ISLAND",-119.3594444,34.01555556,"America/Los_Angeles",277,"US","CA",NA
"232","045616",NA,NA,"ANZA",-116.6744444,33.55583333,"America/Los_Angeles",3939,"US","CA",NA
"233","045117",NA,NA,"APPLE VALLEY",-117.1666667,34.6,"America/Los_Angeles",3100,"US","CA",NA
"234","045124",NA,NA,"GRANITE MTN.",-117.0258333,34.53555556,"America/Los_Angeles",4720,"US","CA",NA
"235","045134",NA,NA,"APPLE VALLEY 2",-117.1680556,34.5925,"America/Los_Angeles",3159,"US","CA",NA
"236","040423",NA,NA,"ALDER POINT",-123.5902778,40.18611111,"America/Los_Angeles",923,"US","CA",NA
"237","044301",NA,NA,"ARROYO_SECO",-121.4805556,36.23611111,"America/Los_Angeles",800,"US","CA",NA
"238","040244",NA,NA,"ASH CREEK",-121.9794444,41.27694444,"America/Los_Angeles",3700,"US","CA",NA
"239","040726",NA,NA,"ASH VALLEY",-120.6861111,41.05194444,"America/Los_Angeles",5100,"US","CA",NA
"240","044701",NA,NA,"ASH MOUNTAIN",-118.8241667,36.49166667,"America/Los_Angeles",1700,"US","CA",NA
"241","042108",NA,NA,"ATLAS PEAK",-122.2647222,38.47472222,"America/Los_Angeles",1934,"US","CA",NA
"242","043407",NA,NA,"ALTAMONT",-121.6091667,37.69277778,"America/Los_Angeles",1436,"US","CA",NA
"243","040518",NA,NA,"BACKBONE",-123.1419444,40.88861111,"America/Los_Angeles",4504,"US","CA",NA
"244","052001",NA,NA,"BAILEY",-105.3416667,39.38138889,"America/Denver",8000,"US","CO",NA
"245","042603",NA,NA,"BALD MOUNTAIN",-120.6855556,38.90083333,"America/Los_Angeles",4613,"US","CA",NA
"246","042308",NA,NA,"BARNABE",-122.7069444,38.02777778,"America/Los_Angeles",820,"US","CA",NA
"247","044207",NA,NA,"BATTERSON",-119.6288889,37.37861111,"America/Los_Angeles",3100,"US","CA",NA
"248","055807",NA,NA,"BIG BEAR PARK",-107.7291667,37.49583333,"America/Denver",10400,"US","CO",NA
"249","040501",NA,NA,"BIG BAR",-123.2488889,40.74194444,"America/Los_Angeles",1722,"US","CA",NA
"250","045735",NA,NA,"BELL CANYON",-117.5916667,33.55166667,"America/Los_Angeles",764,"US","CA",NA
